"Save Coupon Code","Save Coupon Code"
"Save and Continue Edit","Save and Continue Edit"
"Edit Form '%1'","Edit Form '%1'"
"New Form","New Form"
"General Information","General Information"
"Coupon Alias","Coupon Alias"
"Coupon Code","Coupon Code"
"Email Address","Email Address"
"Usage Limit","Usage Limit"
"Usage Per Customer","Usage Per Customer"
"Time Used","Time Used"
"Expiration Date","Expiration Date"
"Edit Rule","Edit Rule"
"Rule Id","Rule Id"
"Edit Customer","Edit Customer"
"Customer Id","Customer Id"
"Coupon Information","Coupon Information"
ID,ID
Code,Code
Alias,Alias
Email,Email
Status,Status
Action,Action
"Customer Coupon Code","Customer Coupon Code"
"Coupon Code Generate","Coupon Code Generate"
"Generate Code for Visitor email","Generate Code for Visitor email"
"Visitor Email","Visitor Email"
Rule,Rule
"Generate Coupon","Generate Coupon"
"Generate Coupon(s) for Customers ","Generate Coupon(s) for Customers "
"Use mass-action to generate coupons for existing customers","Use mass-action to generate coupons for existing customers"
"We can't find records for this period.","We can't find records for this period."
"Import Configuration","Import Configuration"
"Import Coupons Via CSV","Import Coupons Via CSV"
"Coupon Code Import","Coupon Code Import"
"Upload CSV File","Upload CSV File"
"Split Symbol","Split Symbol"
"Input the delimiter to read data of CSV file. For example: <strong>;</strong> <br/>Default: <strong>,</strong>","Input the delimiter to read data of CSV file. For example: <strong>;</strong> <br/>Default: <strong>,</strong>"
"Configuration Scope","Configuration Scope"
"Imported configuration settings will be applied to selected scope (selected store view or website). If you're not sure what is 'scope' in Magento system configuration.<br/><br/>It is highly recommended to leave the default scope <strong>'Default Config'</strong>. In this case imported configuration will be applied to all existing store views.","Imported configuration settings will be applied to selected scope (selected store view or website). If you're not sure what is 'scope' in Magento system configuration.<br/><br/>It is highly recommended to leave the default scope <strong>'Default Config'</strong>. In this case imported configuration will be applied to all existing store views."
"New Coupon Log","New Coupon Log"
"Full Name","Full Name"
"Edit Order","Edit Order"
"Order Id","Order Id"
"Track the status on frontend","Track the status on frontend"
"Scan QrCode","Scan QrCode"
"Track Link","Track Link"
"IP Address","IP Address"
